MASKED_XCC,SKU_NUMBER,SKU_RANK_NUMBER,HEALTH_SKU_NUMBER
26987883,492037,9,488025
3759938,855377,12,139058
39892505,238295,5,690754
44662304,995264,5,329913
10954037,537316,1,537316
5503640,132704,1,111471
6695537,463617,2,457562
23387910,247239,12,364510
11854065,335244,6,369824
10087035,213199,6,847261
4990390,380036,6,789786
14354575,608802,18,608802
8168510,706069,2,233138
53273834,341442,2,238246
53953279,395833,17,103325
5828613,967735,1,317150
21951342,862652,12,384812
32866810,696994,7,295418
51548221,264628,20,209144
22586795,752428,4,477060
39126096,984771,6,826622
17235955,427200,6,365244
4794088,312590,7,216440
51214934,250218,3,232641
38802217,853023,6,100271
1666773,318986,4,341321
16951651,829850,13,468080
1835210,814854,18,953792
5038478,266352,8,145470
7465898,966052,3,967346
9778107,491818,9,917130
51492181,997124,8,173146
29392052,496641,6,883850
16190402,317820,5,451305
24003629,978592,5,306440
51338152,228263,6,249560
39028057,127185,6,375856
26784803,343025,16,343025
23455681,399477,7,775065
4350730,800768,11,979596
21635772,192120,1,192120
40489760,328284,4,692270
6423769,300605,12,369415
3831735,705527,6,276116
53982197,211727,7,167952
3960128,228346,6,467735
4003431,813576,11,140160
2202524,813576,4,838620
52260391,335244,8,369824
45955375,829850,10,395534
39934103,703278,4,267562
25808727,430349,5,430349
5888061,395833,14,888098
33384322,422000,11,369824
26100090,370317,13,997124
5491575,229130,15,584998
35984599,550147,2,831096
48795235,517088,17,390168
30926793,340285,18,191162
474586,152702,9,687650
2702111,186153,6,520577
40373964,154815,8,155912
34312884,499033,3,281874
22605063,289017,14,289017
38430142,843313,1,240969
50100312,640985,1,237392
38259642,408605,9,729942
46797067,205215,14,369824
1079173,444724,15,337505
11751727,734701,19,309878
40059558,341442,5,155912
32928403,747330,4,339486
11581517,211728,7,997121
11580787,200236,1,200236
51223940,369824,9,132591
53211695,614233,1,442316
138807,272877,20,838679
23704319,229139,16,341442
21002400,687238,1,692270
31977804,348914,6,349455
18091536,249561,14,829850
5332732,869888,8,396476
22769355,208874,9,705772
15508680,314488,16,282267
90013999,370317,16,319364
3879843,163915,5,743704
24798465,687637,2,687637
36324003,369824,13,734701
36674850,290938,7,210683
53961251,507400,9,410647
22350548,337445,11,687340
34549889,866992,8,468080
39747224,236631,7,234973
14743885,479302,2,344151
2987054,966052,13,451305
30071315,931825,1,175933
18556193,948893,2,277760
27047302,687340,13,140160
8236917,339048,11,495772
1742626,185226,19,209144
35821375,837401,3,837401
54003234,855377,9,364510
37902282,482530,17,173146
23396884,840371,2,501873
16262155,531376,7,729942
510107,875952,5,257092
44629869,254997,1,113250
38978700,277817,5,244798
38035344,444724,9,482530
26797108,974248,3,291741
550931,391394,10,164386
26502081,799174,9,800768
17978491,209243,6,190058
315979,498038,10,891705
224986,317746,12,234585
16695816,378687,2,149928
21151213,369824,19,640985
1583597,372909,2,206380
26721270,598604,6,468080
11738423,997124,14,275175
27416273,990372,11,369824
19720247,262499,12,829854
7566028,823994,2,975397
11622184,184184,15,417134
32711982,186153,17,599779
24969971,829850,11,829850
29578093,270784,20,335046
4176852,369824,13,507400
29655931,814467,12,369824
1847489,894103,6,894103
2688519,814854,17,973522
35943773,966052,11,451305
33856201,948075,15,341442
26322696,214395,6,154815
1299959,997124,12,997124
26430365,734701,9,107631
978900,235803,15,829850
5238347,711216,9,209243
3524634,460219,1,214205
25839842,491847,3,250191
45148553,985574,12,234585
765203,928918,14,405793
44453855,372441,1,212795
4156818,348287,14,369824
783033,695405,1,184325
28904782,227443,4,241429
12664707,468080,9,866992
7489972,176462,3,399477
189071,342009,14,830077
25179807,410647,14,209144
45026772,495972,19,813576
16943776,161049,1,344764
25453232,162498,12,809633
1110573,895762,9,208874
21605150,548794,1,267137
27226558,369824,15,413879
38518624,115585,10,211728
38714881,282759,2,218506
2200280,211102,5,557215
34265686,903766,10,978505
54048602,339486,4,335244
34686886,978465,1,155912
22818122,200236,3,206379
45075463,453337,6,206380
20841400,201671,14,909166
27591579,236066,12,209144
1030625,891705,16,252298
19253577,974248,17,974248
38585183,923801,1,202513
50454110,444724,12,857132
19368041,371914,18,979596
47089968,420386,2,260717
46666169,654515,2,101659
45052169,165596,4,240966
18465604,836320,3,727108
6418697,612418,6,612418
7231621,724211,8,724211
15804407,813576,7,829850
25998734,164257,1,164257
15436802,396381,17,895262
24489498,853023,2,853023
45094030,270157,19,353837
